id,name,timing,target,keyword,condition,cond_option,ability,ability_option
1071,none,on_this_use,none,none,none,me.field.count>0,draw,count=2
1072,none,on_this_use,me_hand_1_index+other_[type:1|9],none,none,me.field.availableCount>=2,bury,appendix=1073
1073,none,on_this_use,none,none,none,none,draw,count=1
1074,none,on_this_destroy,op_leader_0_all_[type:0],none,none,none,damage,damage=2
1075,none,on_turn_end,self,none,none,me.isMyTurn=1,vanish,none
1076,none,on_this_use,op_field_1_index_[type:1|9],none,none,none,damage,damage=3
1077,none,on_this_use,none,none,none,none,summon,enhance=7&id=910051103&count=3
1078,none,on_this_use,none,none,none,none,reanimate,cost=3
1079,none,on_this_use,none,none,none,none,reanimate,enhance=8&cost=5
1080,none,on_this_use,op_field_1_index_[type:1|9],none,none,none,destroy,none
1081,none,on_this_use,none,none,none,necromance[4]=1,summon,necromance=4&id=910051104&count=1
1082,none,on_this_destroy,none,none,none,none,summon,id=910051102&count=2
1083,none,on_this_destroy,none,none,none,none,summon,id=910051104&count=1
1084,none,on_this_use,me_field_1_index+other_[type:1|9],none,none,me.field.count>0,destroy,none
1085,none,on_this_use,op_field_1_random_[type:1|9],none,none,me.field.count>0,destroy,none
1086,none,on_this_use,all_leader_0_all_[type:0],none,none,none,damage,damage=1
1087,none,on_this_use,none,none,none,none,summon,id=910061101&count=1
1088,none,on_this_destroy,me_leader_0_all_[type:0],none,none,none,heal,heal=2
1089,none,on_this_use,self,none,none,me.isVenge=1,set_keyword,keyword=1
1090,none,on_this_use,me_leader_0_all_[type:0],none,none,none,damage,damage=2
1091,none,on_this_use,none,none,none,none,draw,count=2
1092,none,on_this_use,me_leader_0_all_[type:0],none,none,none,damage,damage=2
1093,none,on_this_use,op_leader+field_1_index_[type:0|1|9],none,none,none,damage,damage=3
1094,none,on_this_use,none,none,none,none,summon,id=910061101&count=2
1095,none,on_this_use,me_field_0_all_[id:910061101],none,none,none,buff,add=1/0
1096,none,on_this_evolve_with_ep,all_leader_0_all_[type:0],none,none,none,damage,damage=3
1097,none,on_this_use,all_leader_0_all_[type:0],none,none,none,damage,damage=1
1098,none,on_this_use,op_field_1_index_[type:1|9],none,none,none,damage,damage=3
1099,none,on_this_use,me_leader+field_1_index_[type:0|1|9],none,none,none,heal,heal=2
1100,none,on_this_use,me_field_1_index_[type:3][keyword:18],none,none,none,set_countdown,add=-1
1101,none,on_this_use,me_field_1_index_[type:3][keyword:18],none,none,none,set_countdown,add=-2
1102,none,on_this_use,none,none,none,none,draw,count=1
1103,none,on_this_use,op_field_1_index_[type:1|9][hp:<=3],none,none,none,vanish,none
1104,none,on_this_use,me_leader+field_1_index_[type:0|1|9],none,none,none,heal,heal=2
1105,none,on_this_use,none,none,none,none,draw,count=1
1106,none,on_this_use,op_field_1_index_[type:1|9],none,none,none,vanish,appendix=1107
1107,none,on_this_use,me_leader_0_all_[type:0],none,none,none,heal,heal=sourceEffect.target.first.current.hp
1108,none,on_this_destroy,none,none,none,none,draw,count=2
1109,none,on_this_use,none,none,none,none,draw,count=1&filter=[type:3][keyword:18]
1110,none,on_this_evolve_with_ep,op_field_1_index_[type:1|9][hp:<=3],none,none,none,vanish,none
1111,none,on_this_destroy,none,none,none,none,summon,id=910071102/910071104&count=1/1
1112,none,on_turn_end,self,none,none,op.isMyTurn=1&effect.source.where=5,destroy,none
1113,none,on_turn_end,self,none,none,op.isMyTurn=1&effect.source.where=5,destroy,none
1114,none,on_this_destroy,none,none,none,none,draw,count=1
1115,none,on_this_use,none,none,none,none,draw,count=1
1116,none,on_this_destroy,none,none,none,me.isMyTurn=1,draw,count=1&filter=[trait:4]
1117,none,on_this_destroy,none,none,none,op.isMyTurn=1,draw,count=1
1118,none,on_this_use,none,none,none,none,add_deck,id=910081103&count=2
1119,none,on_this_use,self,none,none,none,buff,enhance=4&add=1/1
1120,none,on_this_use,none,none,none,none,get_token,enhance=4&id=910081101&count=1
1121,none,on_this_use,none,none,none,none,add_deck,id=910081104&count=2
1122,none,on_this_use,none,none,none,none,add_deck,id=910081105&count=2
1123,none,on_this_use,none,none,none,none,get_token,id=910081101&count=1
1124,none,on_this_destroy,none,none,none,none,get_token,id=910081101&count=1
1125,none,on_this_use,none,none,none,none,add_deck,id=910081106&count=2
1126,none,on_this_use,op_field_1_index_[type:1|9],none,none,me.isReson=0,damage,damage=3
1127,none,on_this_use,op_field_1_index_[type:1|9],none,none,me.isReson=1,damage,damage=5
1128,none,on_this_use,none,none,none,me.isReson=1,draw,count=2
1129,none,on_this_use,none,none,none,me.isReson=0,draw,count=1
1130,none,on_this_destroy,none,none,none,me.isReson=1,draw,count=1
1131,none,on_this_destroy,none,none,none,me.isReson=0,draw,count=2
1132,none,on_this_use,none,none,none,none,add_deck,id=910081104&count=2
1133,none,on_this_evolve_with_ep,none,none,none,none,draw,count=1&filter=[trait:4]
1134,none,on_this_use,none,none,none,none,draw,count=1&filter=[trait:4]
1135,none,on_this_use,none,none,none,none,add_deck,id=910081103&count=1
1136,none,on_this_use,me_leader_0_all_[type:0],none,none,none,add_effect,id=1137&until=me_turn_end&description=自己的回合結束時，抽�?張卡片，並失去此能力�?
1137,none,on_turn_end,none,none,none,me.isMyTurn=1,draw,count=1
1138,none,on_this_use,none,none,none,none,summon,enhance=5&id=110101101&count=1
1139,none,on_this_evolve_with_ep,op_field_1_index_[type:1|9][isAttackFinished:1],none,none,none,destroy,none
1140,none,on_turn_end,me_leader_0_all_[type:0],none,none,me.isMyTurn=1&effect.source.where=5,heal,heal=3
1141,none,on_this_attack,op_leader+field_0_all_[type:0|1|9],none,none,none,damage,damage=2
1142,none,on_this_use,all_field_1_index_[type:1|9],none,none,none,buff,appendix=1143&add=1/0
1143,none,on_this_use,sourceEffect.target_field_0_all_[type:1|9],none,none,none,damage,damage=1
1144,none,on_this_use,op_field_1_random_[type:1|9],none,none,none,damage,appendix=1145&damage=2
1145,none,on_this_use,none,none,none,op.field[type:1|9].count>me.field[type:1|9].count,summon,id=110001101&count=1
1146,none,on_this_use,me_field_1_random_[type:1|9],none,none,none,buff,add=1/1
1147,none,on_turn_start,me_field_1_random_[type:1|9],none,none,me.isMyTurn=1&effect.source.where=5,buff,add=1/1
1148,none,on_this_evolve_with_ep,op_field_1_index_[type:1|9],none,none,none,damage,damage=1
1149,none,on_this_evolve_with_ep,op_leader_0_all_[type:0],none,none,me.hand.count>op.hand.count,damage,damage=1
1150,none,on_this_evolve_with_ep,none,none,none,me.hand.count<op.hand.count,draw,count=1
1151,none,on_this_use,me_field_1_index_[type:1|9],none,none,none,buff,add=1/0
1152,none,on_this_use,me_hand_1_index+other_[type:1|9],none,none,none,set_keyword,appendix=1153&keyword=4
1153,none,on_this_use,sourceEffect.target_hand_0_all_[type:1|9],none,none,none,add_effect,id=1154&description=[ffbb00]謝幕曲[-] 抽取1張卡片�?
1154,none,on_this_destroy,none,none,none,none,draw,count=1
1155,none,on_this_use,me_hand_0_all,none,none,none,discard,none
1156,none,on_this_use,none,none,none,none,summon,id=110102104&count=1
1157,none,on_this_use,none,none,none,none,summon,id=110001101&count=2
1158,none,on_this_use,none,none,none,none,accelerate,accelerate=3&id=810102201
1159,none,on_this_use,op_leader+field_1_index_[type:0|1|9],none,none,none,damage,damage=6
1160,none,on_this_use,none,none,none,none,random,pdf=1/1&effect=1161/1162
1161,none,on_this_use,none,none,none,none,draw,count=3
1162,none,on_this_use,me_field_1_random_[type:1],none,none,none,evolve,none
1163,none,on_this_use,op_field_1_index_[type:1|3|9],none,none,none,destroy,none
1164,none,on_this_use,me_hand_1_index+other,none,none,none,discard,appendix=1165&type=vanish
1165,none,on_this_use,none,none,none,none,add_deck,hide=true&id=sourceEffect.target.first.current.uid&count=1
1166,none,on_this_use,none,none,none,none,draw,count=1
1167,none,on_this_destroy,op_field_1_random_[type:1|9],none,none,none,destroy,none
1168,none,on_this_use,none,none,none,none,travel,none
1169,none,on_this_evolve_with_ep,me_hand_1_index+other_[type:1|9][initCost:<=5],none,none,none,summon,appendix=1170&where=hand
1170,none,on_this_evolve_with_ep,sourceEffect.target_field_0_all_[type:1|9],none,none,none,set_keyword,appendix=1171&keyword=4
1171,none,on_this_evolve_with_ep,sourceEffect.target_field_0_all_[type:1|9],none,none,none,add_effect,id=1172&description=自己的回合結束時，使這個從者返回手牌�?
1172,none,on_turn_end,self,none,none,me.isMyTurn=1,return,none
1173,none,on_this_destroy,me_leader_0_all_[type:0],none,none,me.hand.count>op.hand.count,heal,heal=4
1174,none,on_this_destroy,none,none,none,me.hand.count<op.hand.count,draw,count=2
1175,none,on_this_use,op_leader+field_0_all_[type:0|1|9],none,none,none,damage,damage=4
1176,none,on_this_use,me_field_1_index_[type:9],none,none,none,add_effect,appendix=1177&id=1178&keyword=10&description=[ffbb00]交戰時[-] 抽取1張卡片。回復自己的主戰�?點生命值�?
1177,none,on_this_use,sourceEffect.target_field_0_all_[type:9],none,none,none,add_effect,id=1179&keyword=10
1178,none,on_this_defense,me_leader_0_all_[type:0],none,none,none,heal,heal=1
1179,none,on_this_defense,none,none,none,none,draw,count=1
1180,none,on_this_use,none,none,none,none,add_deck,id=910103101/910103102&count=1/1
1181,none,on_this_destroy,op_field_2_random_[type:1|9],none,none,none,damage,damage=1
1182,none,on_other_use,self,none,none,effect.source.where=2&sourceEffect.target.first.isMe=1&sourceEffect.target.first.current[IF][trait:7]=1,set_cost,until=turn_end&set=2
1183,none,on_this_use,all_leader_0_all_[type:0],none,none,none,heal,heal=2
1184,none,on_this_use,none,none,none,none,draw,count=1
1185,none,on_this_use,none,none,none,none,draw,who=op&count=1
1186,none,on_other_use,self,none,none,effect.source.where=2&sourceEffect.target.first.isMe=1&sourceEffect.target.first.current[IF][trait:6]=1,set_cost,until=turn_end&set=2
1187,none,on_this_use,me_hand_1_index+other,none,none,none,discard,none
1188,none,on_this_use,self,none,none,none,set_keyword,keyword=3
1189,none,on_this_use,self,none,none,me.field[craft:0].count>=2,set_keyword,keyword=3
1190,none,on_this_use,self,none,none,me.field[craft:0].count>=4,evolve,none
1191,none,on_this_evolve_with_ep,none,none,none,none,draw,count=1&filter=[trait:6]
1192,none,on_this_evolve_with_ep,none,none,none,none,draw,count=1&filter=[trait:7]
1193,none,on_this_use,none,none,none,none,accelerate,accelerate=2&id=810104201
1194,none,on_this_use,none,none,none,none,summon,id=910104301/910104302&count=1/1
1195,none,on_other_attack,sourceEffect.source_field_1_first_[type:1|9],none,none,effect.source.where=5&sourceEffect.source.isMe=1,buff,add=2/0
1196,none,on_other_attack,self,none,none,effect.source.where=5&sourceEffect.source.isMe=1,destroy,none
1197,none,on_other_defense,sourceEffect.me_field_1_first_[type:1|9],none,none,effect.source.where=5,buff,add=0/2
1198,none,on_other_defense,self,none,none,effect.source.where=5,destroy,none
1199,none,on_this_use,none,none,none,none,random,pdf=1/1&effect=1200/1201
1200,none,on_this_use,none,none,none,none,summon,id=910104301&count=1
1201,none,on_this_use,none,none,none,none,summon,id=910104302&count=1
