id,status,trait,keyword,option,effect,token
110081903,3/5/4,none,4/7,none,4,910081104
110081904,3/4/5,none,2/7,none,2,910081105
110081905,3/3/4,none,7/8,none,1124,910081101
110081906,4/6/5,none,7,none,0,910081106
110082901,2/4/4,none,7/11,none,1133,910081104
110082902,3/4/5,none,7,none,0,none
910081901,0/3/3,none,4,none,4/1112,none
910081902,1/5/5,none,4,nameId=910081901,4/1113,none
910081903,1/4/3,4,8,none,1114,none
910081904,1/5/3,4,4,none,4,none
910081905,3/4/5,4,2/7,none,2,none
910081906,5/6/5,4,1/8,none,1/1116/1117,none
---------,------,----,----,----,-,-------(Pack 101 / Normal)
110101101,2/2/1,none,2/7/21,none,2/1138,none
110101102,4/3/4,none,11,none,1139,none
110101103,5/4/4,none,none,none,1140,none
110101104,7/5/7,none,9,none,1141,none
110101201,1/0/0,none,none,none,1142,none
110101202,2/0/0,none,none,none,1144,110001101
110101301,2/0/0,none,7,none,1146/1147,none
110102101,2/2/2,none,11,none,1148/1149/1150,none
110102102,3/2/2,none,5/7,none,5/1151,none
110102103,4/3/3,none,7,none,1152,none
110102104,7/6/6,none,7,none,1155/1156,none
110102105,10/6/10,none,2/7/26,none,2/1158/1159,810102201
110102201,5/0/0,none,none,none,1160,none
110102202,5/0/0,none,none,none,1163,none
110102301,2/0/0,none,7/8/18,countdown=2,1164/1166/1167,none
110103101,3/2/2,none,7/28,none,1168,none
110103102,6/4/4,none,11,evolveCost=0,1169,none
110103103,8/6/7,none,8/25,none,25/1173/1174,none
110103104,9/6/6,none,7,none,1175,none
110103201,3/0/0,none,none,none,1176,none
110103301,1/0/0,none,7/8/18,countdown=2,1180/1181,910103101/910103102
110104101,1/1/2,none,7,nameId=110001101,1189/1190,none
110104102,4/4/4,none,11,none,1191/1192,none
110104103,7/6/6,none,2/4/7/26,none,2/4/1193/1194,810104201/910104301/910104302
510101201,0/0/0,none,28,none,-1/-2/-3,none
510103201,0/0/0,none,28,none,-4/-5/-6,none
810102201,3/0/0,none,none,artId=110102105,1157,110001101
810104201,2/0/0,none,none,artId=110104103,1199,910104301/910104302
910103101,3/2/3,6,2/7,none,2/1182/1183/1184/1185,none
910103102,3/3/2,7,4/7,none,4/1186/1187/1188,none
910104301,2/0/0,none,none,none,1195/1196,none
910104302,2/0/0,none,none,none,1197/1198,none
---------,------,----,----,----,-,-------(Pack 101 / Evolve)
110101901,2/4/3,none,2/7/21,none,2,none
110101902,4/4/5,none,11,none,1139,none
110101903,5/6/6,none,none,none,1140,none
110101904,7/5/7,none,9,none,1141,none
110102901,2/4/4,none,11,none,1148/1149/1150,none
110102902,3/4/4,none,5/7,none,5,none
110102903,4/5/5,none,7,none,0,none
110102904,7/8/8,none,7,none,0,none
110102905,10/8/12,none,2/7/26,none,2,none
110103901,3/4/4,none,7/28,none,0,none
110103902,6/4/4,none,11,none,1169,none
110103903,8/8/9,none,8/25,none,25/1173/1174,none
110103904,9/8/8,none,7,none,0,none
110104901,1/3/4,none,7,nameId=110001901,0,none
110104902,4/4/4,none,11,none,1191/1192,none
110104903,7/8/8,none,2/4/7/26,none,2/4,810104201/910104301/910104302
910103901,3/4/5,6,2/7,none,2,none
910103902,3/5/4,7,4/7,none,4,none
